#,Company,Symbol,YTD Return
1,SANDISK CORP,SNDK,47.22%
2,CVS HEALTH CORP,CVS,45.31%
3,GILEAD SCIENCES INC,GILD,26.89%
4,AMGEN INC,AMGN,25.60%
5,BAXTER INTERNATIONAL INC,BAX,25.38%
6,PHILIP MORRIS INTERNATIONAL,PM,25.13%
7,VERTEX PHARMACEUTICALS INC,VRTX,24.16%
8,ABBVIE INC,ABBV,21.92%
9,ABBOTT LABORATORIES,ABT,21.44%
10,UBER TECHNOLOGIES INC,UBER,21.12%
11,SUPER MICRO COMPUTER INC,SMCI,21.06%
12,WALGREENS BOOTS ALLIANCE INC,WBA,20.90%
13,T MOBILE US INC,TMUS,20.79%
14,TEXAS PACIFIC LAND CORP,TPL,20.37%
15,AMERICAN WATER WORKS CO INC,AWK,19.94%
16,LKQ CORP,LKQ,19.86%
17,AT+T INC,T,19.81%
18,CONSOLIDATED EDISON INC,ED,19.53%
19,THE CIGNA GROUP,CI,18.30%
20,YUM BRANDS INC,YUM,17.84%
21,SOLVENTUM CORP,SOLV,17.53%
22,MEDTRONIC PLC,MDT,17.43%
23,BROWN + BROWN INC,BRO,17.26%
24,INTL BUSINESS MACHINES CORP,IBM,16.86%
25,CENCORA INC,COR,16.41%
26,AMERICAN ELECTRIC POWER,AEP,16.36%
27,PROGRESSIVE CORP,PGR,16.31%
28,EXELON CORP,EXC,16.26%
29,VERIZON COMMUNICATIONS INC,VZ,16.25%
30,AMERICAN TOWER CORP,AMT,16.17%
31,WELLTOWER INC,WELL,16.00%
32,REPUBLIC SERVICES INC,RSG,15.97%
33,JOHNSON + JOHNSON,JNJ,15.96%
34,WEC ENERGY GROUP INC,WEC,15.89%
35,MCKESSON CORP,MCK,15.60%
36,VERISIGN INC,VRSN,15.49%
37,DEERE + CO,DE,15.36%
38,AUTOZONE INC,AZO,15.24%
39,GENERAL ELECTRIC,GE,15.19%
40,COCA COLA CO/THE,KO,14.76%
41,QUEST DIAGNOSTICS INC,DGX,14.76%
42,PARAMOUNT GLOBAL CLASS B,PARA,14.72%
43,VENTAS INC,VTR,14.64%
44,MOLINA HEALTHCARE INC,MOH,14.51%
45,3M CO,MMM,14.35%
46,HASBRO INC,HAS,14.34%
47,MONDELEZ INTERNATIONAL INC A,MDLZ,14.10%
48,NEWMONT CORP,NEM,13.84%
49,O REILLY AUTOMOTIVE INC,ORLY,13.56%
50,INTERCONTINENTAL EXCHANGE IN,ICE,13.52%
51,ARTHUR J GALLAGHER + CO,AJG,13.39%
52,ECOLAB INC,ECL,13.38%
53,CME GROUP INC,CME,12.94%
54,SOUTHERN CO/THE,SO,12.93%
55,WASTE MANAGEMENT INC,WM,12.87%
56,ALTRIA GROUP INC,MO,12.81%
57,ROLLINS INC,ROL,12.79%
58,STERIS PLC,STE,12.63%
59,AMERICAN INTERNATIONAL GROUP,AIG,12.53%
60,KIMBERLY CLARK CORP,KMB,12.48%
61,OTIS WORLDWIDE CORP,OTIS,12.21%
62,CBOE GLOBAL MARKETS INC,CBOE,12.09%
63,KENVUE INC,KVUE,12.04%
64,HCA HEALTHCARE INC,HCA,12.00%
65,HOWMET AEROSPACE INC,HWM,11.83%
66,VICI PROPERTIES INC,VICI,11.74%
67,COSTAR GROUP INC,CSGP,11.62%
68,BRISTOL MYERS SQUIBB CO,BMY,11.58%
69,PROLOGIS INC,PLD,11.51%
70,HESS CORP,HES,11.45%
71,FOX CORP CLASS A,FOXA,11.40%
72,AMEREN CORPORATION,AEE,11.34%
73,MARSH + MCLENNAN COS,MMC,11.21%
74,AON PLC CLASS A,AON,11.09%
75,RTX CORP,RTX,11.06%
76,CMS ENERGY CORP,CMS,11.04%
77,ELEVANCE HEALTH INC,ELV,11.02%
78,FASTENAL CO,FAST,10.97%
79,ROPER TECHNOLOGIES INC,ROP,10.89%
80,STARBUCKS CORP,SBUX,10.82%
81,KROGER CO,KR,10.74%
82,PHILLIPS 66,PSX,10.71%
83,XYLEM INC,XYL,10.54%
84,GENUINE PARTS CO,GPC,10.50%
85,MCCORMICK + CO NON VTG SHRS,MKC,10.43%
86,LINDE PLC,LIN,10.36%
87,SBA COMMUNICATIONS CORP,SBAC,10.36%
88,EXPEDITORS INTL WASH INC,EXPD,10.27%
89,PAYCHEX INC,PAYX,10.20%
90,EBAY INC,EBAY,10.07%
91,HERSHEY CO/THE,HSY,10.04%
